ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; School Type [Public School] (All Years: 2018-19): 1-Regular school 2-Special education school; Grade 12 offered [Public School] (All Years: 2018-19): Yes

School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2018-19,Web Site URL [Public School] 2018-19,Phone Number [Public School] 2018-19,School Type [Public School] 2018-19,Grade 12 offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Location City [Public School] 2018-19
JORDAN VOCATIONAL HIGH SCHOOL,Georgia,GA ,Muscogee County,http://www.jordanhs.com/,7067482819,1-Regular school,1-Yes,779,415,364,32,="0",249,402,91,4,1,736,Columbus
JORDAN-ELBRIDGE HIGH SCHOOL,New York,NY ,Onondaga County,http://www.jecsd.org,3156898510,1-Regular school,1-Yes,407,204,203,2,="0",391,5,4,4,1,107,JORDAN
JOSE MARTI MAST 6-12 ACADEMY,Florida,FL ,Miami-Dade County,http://martimast.dadeschools.net,3055575931,1-Regular school,1-Yes,931,512,419,2,1,38,87,785,17,1,655,HIALEAH
JOSEPH A. FORAN HIGH SCHOOL,Connecticut,CT ,New Haven County,†,2037833502,1-Regular school,1-Yes,874,437,437,2,2,708,50,58,53,1,198,Milford
JOSEPH A. GREGORI HIGH,California,CA ,Stanislaus County,†,2095741738,1-Regular school,1-Yes,2264,1112,1152,183,22,700,51,1155,146,7,1111,Modesto
JOSEPH C WILSON MAGNET HIGH SCHOOL,New York,NY ,Monroe County,http://www.rcsdk12.org,5853283440,1-Regular school,1-Yes,776,338,438,1,="0",78,541,99,56,1,656,ROCHESTER
JOSEPH C. BRISCOE ACADEMY,Maryland,MD ,Baltimore city,http://www.baltimorecityschools.org/345,4103960774,2-Special education school,1-Yes,79,64,15,†,†,8,70,1,†,†,79,Baltimore
JOSEPH CASE HIGH,Massachusetts,MA ,Bristol County,http://www.swanseaschools.org,5086757483,1-Regular school,1-Yes,536,279,257,5,†,500,6,15,9,1,–,Swansea
JOSEPH CHARTER SCHOOL,Oregon,OR ,Wallowa County,http://www.staff.josephcharter.org,5414327311,1-Regular school,1-Yes,243,122,121,18,="0",214,="0",11,="0",="0",127,Joseph
JOSEPH CITY HIGH SCHOOL,Arizona,AZ ,Navajo County,†,9282883307,1-Regular school,1-Yes,117,50,67,9,="0",77,="0",15,="0",16,45,Joseph City
JOSEPH POMEROY WIDNEY CAREER PREP AND TRANSITION CENTER,California,CA ,Los Angeles County,http://www.widneyhs-lausd-ca.schoolloop.com,3237318633,2-Special education school,1-Yes,295,164,131,="0",1,5,52,214,23,="0",222,Los Angeles
JOSEPH S. CLARK PREPARATORY HIGH SCHOOL,LOUISIANA,LA ,Orleans Parish,†,5043736202,1-Regular school,1-Yes,43,24,19,="0",="0",="0",41,2,="0",="0",28,New Orleans
JOSEY HIGH SCHOOL,Georgia,GA ,Richmond County,†,7067377360,1-Regular school,1-Yes,553,284,269,6,6,21,492,26,1,1,533,Augusta
JOSHUA H S,Texas,TX ,Johnson County,http://www.joshuaisd.org,8172022500,1-Regular school,1-Yes,1108,562,546,25,1,778,16,276,6,6,452,JOSHUA
JOURDANTON H S,Texas,TX ,Atascosa County,http://www.jourdantonisd.net,8307692350,1-Regular school,1-Yes,417,218,199,4,="0",167,4,241,1,="0",201,JOURDANTON
JOURNALISM AND MEDIA ACADEMY,Connecticut,CT ,Hartford County,http://jma.hartfordschools.org/,8606951818,1-Regular school,1-Yes,170,73,97,3,†,2,94,70,1,†,148,Hartford
JOURNEYS SCHOOL,Illinois,IL ,Jersey County,†,6188855613,2-Special education school,1-Yes,14,13,1,†,†,12,2,†,†,†,11,Jerseyville
JOURNEYS SECONDARY SCHOOL,Minnesota,MN ,Ramsey County,http://www.spps.org,6517441900,2-Special education school,1-Yes,57,41,16,5,="0",6,39,4,1,2,47,SAINT PAUL
JOY PREPARATORY ACADEMY,Michigan,MI ,Wayne County,http://www.joyprep.com,3133400023,1-Regular school,1-Yes,356,175,181,1,="0",="0",355,="0",="0",="0",355,DETROIT
JR-SR HIGH SCHOOL AT PALMYRA,Nebraska,NE ,Otoe County,†,4027805327,1-Regular school,1-Yes,201,98,103,11,="0",183,2,5,="0",="0",48,PALMYRA
JS CLARK LEADERSHIP ACADEMY,LOUISIANA,LA ,St. Landry Parish,†,3372123549,1-Regular school,1-Yes,232,119,113,†,†,1,231,†,†,†,230,Opelousas
JUAB HIGH,Utah,UT ,Juab County,http://www.juab.k12.ut.us/index.php?option=com_content&view=category&layout=blo,4356231764,1-Regular school,1-Yes,764,400,364,16,1,712,4,26,="0",5,232,NEPHI
JUAN MOREL CAMPOS SECONDARY SCHOOL,New York,NY ,Kings County,http://www.juanmorelcampos.com,7183027900,1-Regular school,1-Yes,508,281,227,4,="0",31,100,368,5,="0",433,BROOKLYN
JUANITA HIGH,Washington,WA ,King County,http://JHS.lwsd.org,4259361600,1-Regular school,1-Yes,1430,756,674,123,6,779,35,223,259,5,332,Kirkland
JUAREZ COMMUNITY ACADEMY HS,Illinois,IL ,Cook County,†,7735347030,1-Regular school,1-Yes,1703,868,835,19,†,10,53,1605,10,6,1224,Chicago
JUAREZ-LINCOLN H S,Texas,TX ,Hidalgo County,†,9563232890,1-Regular school,1-Yes,2430,1282,1148,="0",="0",2,="0",2428,="0",="0",2393,MISSION
JUBILEE - LAKE VIEW UNIVERSITY PREP,Texas,TX ,Bexar County,†,2109633900,1-Regular school,1-Yes,561,282,279,4,="0",16,5,534,1,1,468,SAN ANTONIO
JUBILEE BROWNSVILLE,TEXAS,TX ,Cameron County,†,9565092690,1-Regular school,1-Yes,1057,526,531,="0",="0",33,1,1023,="0",="0",651,BROWNSVILLE
JUBILEE SAN ANTONIO,Texas,TX ,Bexar County,http://www.jubileeacademiccenter.com/,2102783880,1-Regular school,1-Yes,1107,536,571,8,="0",66,130,896,7,="0",895,SAN ANTONIO
JUDA HIGH,Wisconsin,WI ,Green County,http://www.judaschool.com,6089345251,1-Regular school,1-Yes,100,48,52,2,1,88,†,9,†,†,46,Juda
JUDGE BAREFOOT SANDERS LAW MAGNET,Texas,TX ,Dallas County,http://www.dallasisd.org/lawmagnet,9729255920,1-Regular school,1-Yes,409,139,270,6,="0",24,73,296,6,4,305,DALLAS
JUDITH GAP HIGH SCHOOL,Montana,MT ,Wheatland County,http://judithgap.k12.mt.us,4064732211,1-Regular school,1-Yes,6,4,2,="0",="0",6,="0",="0",="0",="0",†,Judith Gap
JUDITH S KAYE HIGH SCHOOL,NEW YORK,NY ,New York County,†,2123601519,1-Regular school,1-Yes,91,54,37,1,="0",2,34,52,="0",2,68,NEW YORK
JUDSON EARLY COLLEGE ACADEMY,Texas,TX ,Bexar County,†,2109455100,1-Regular school,1-Yes,481,176,305,14,2,80,93,271,20,1,215,LIVE OAK
JUDSON H S,Texas,TX ,Bexar County,†,2109451100,1-Regular school,1-Yes,2712,1338,1374,81,14,382,679,1478,71,7,1680,CONVERSE
JULESBURG HIGH SCHOOL,Colorado,CO ,Sedgwick County,†,9704743364,1-Regular school,1-Yes,114,62,52,3,1,68,†,39,2,1,62,JULESBURG
JULIA S MOLLOY EDUCATION CENTER,Illinois,IL ,Cook County,†,8479668600,2-Special education school,1-Yes,98,67,31,3,†,46,10,12,27,†,38,Morton Grove
JULIAN CHARTER,CALIFORNIA,CA ,San Diego County,http://www.juliancharterschool.org,7607653847,1-Regular school,1-Yes,270,133,137,34,2,149,7,64,8,6,72,Julian
JULIAN HIGH,California,CA ,San Diego County,http://www.juhsd.org,7607650606,1-Regular school,1-Yes,106,56,50,4,†,60,1,35,2,4,49,Julian
JULIAN HIGH SCHOOL,Illinois,IL ,Cook County,†,7735355170,1-Regular school,1-Yes,449,229,220,1,†,†,440,8,†,†,385,Chicago
JUMOKE ACADEMY,Connecticut,CT ,Hartford County,http://jumokeacademy.org,8605270575,1-Regular school,1-Yes,717,336,381,5,†,3,666,38,5,†,312,Hartford
JUMPERTOWN HIGH SCHOOL,Mississippi,MS ,Prentiss County,†,6627286378,1-Regular school,1-Yes,328,160,168,30,†,287,10,1,†,†,290,Booneville
JUNCTION CITY HIGH SCHOOL,Arkansas,AR ,Union County,http://junctioncity.k12.ar.us/,8709244576,1-Regular school,1-Yes,317,170,147,†,†,193,113,9,1,1,207,JUNCTION CITY
JUNCTION CITY HIGH SCHOOL,Oregon,OR ,Lane County,http://www.jchigh.org,5419982343,1-Regular school,1-Yes,549,285,264,29,2,441,4,61,3,9,244,Junction City
JUNCTION CITY SR HIGH,Kansas,KS ,Geary County,http://www.usd475.org,7857174200,1-Regular school,1-Yes,1430,730,700,154,30,648,252,299,40,7,747,Junction City
JUNCTION H S,Texas,TX ,Kimble County,http://www.junctionisd.net,3254463326,1-Regular school,1-Yes,173,91,82,1,="0",101,="0",69,2,="0",89,JUNCTION
JUNEAU COUNTY CHARTER SCHOOL,Wisconsin,WI ,Juneau County,†,6085657494,1-Regular school,1-Yes,2,2,="0",="0",="0",2,="0",="0",="0",="0",†,Necedah
JUNEAU-DOUGLAS HIGH SCHOOL,Alaska,AK ,Juneau City and Borough,http://jdhs.juneauschools.org/,9075231501,1-Regular school,1-Yes,604,302,302,102,6,295,11,32,57,101,122,Juneau
JUNIATA SHS,Pennsylvania,PA ,Juniata County,http://www.jcsdk12.org/schools/juniata-high-school/,7174362193,1-Regular school,1-Yes,579,306,273,3,1,497,11,61,5,1,219,Mifflintown
JUNIATA VALLEY JSHS,Pennsylvania,PA ,Huntingdon County,http://www.jvsd.org,8146694401,1-Regular school,1-Yes,416,190,226,1,="0",405,6,4,="0",="0",145,Alexandria
JUNIOR-SENIOR HIGH AT SUMNER,Nebraska,NE ,Dawson County,†,3087522925,1-Regular school,1-Yes,95,44,51,2,="0",82,2,9,="0",="0",44,SUMNER
JUNIUS H ROSE HIGH,North Carolina,NC ,Pitt County,http://www.pitt.k12.nc.us,2523213640,1-Regular school,1-Yes,1517,803,714,41,2,552,801,75,44,2,731,Greenville
JUPITER HIGH SCHOOL,Florida,FL ,Palm Beach County,http://jhs.palmbeachschools.org,5617447900,1-Regular school,1-Yes,3139,1544,1595,86,1,2022,126,817,70,17,888,JUPITER
JURUPA HILLS HIGH,California,CA ,San Bernardino County,http://www.fusd.net,9093576300,1-Regular school,1-Yes,1930,969,961,18,7,64,77,1710,50,4,1599,Fontana
JURUPA VALLEY HIGH,California,CA ,Riverside County,http://jurupausd.org/schools/jurupavalleyhighschool/,9513602600,1-Regular school,1-Yes,1671,801,870,18,2,134,21,1479,17,†,1197,Jurupa Valley
JUSTICE AW SEEWORTH ACADEMY HS,OKLAHOMA,OK ,Oklahoma County,http://seeworthacademy.org,4054756400,1-Regular school,1-Yes,263,145,118,23,†,25,138,70,1,6,263,OKC
JUSTICE HIGH,Virginia,VA ,Fairfax County,†,7038243900,1-Regular school,1-Yes,2241,1202,1039,43,1,500,211,1232,254,="0",1331,Falls Church
JUSTIN F KIMBALL H S,Texas,TX ,Dallas County,http://www.dallasisd.org/kimball,9725022100,1-Regular school,1-Yes,1445,827,618,2,1,11,447,973,="0",11,1144,DALLAS
JUVENILE CARE CENTER,Michigan,MI ,Midland County,†,9898376098,2-Special education school,1-Yes,22,18,4,1,="0",21,="0",="0",="0",="0",17,MIDLAND
JUVENILE DETENTION CENTER,Washington,WA ,Yakima County,†,5095742055,1-Regular school,1-Yes,19,18,1,="0",="0",2,="0",14,="0",3,19,YAKIMA
JUVENILE DETENTION EDUCATION PROGRAM,Arizona,AZ ,Coconino County,†,9286798072,1-Regular school,1-Yes,16,11,5,="0",="0",1,="0",5,="0",10,–,FLAGSTAFF
JW SEXTON HIGH SCHOOL,Michigan,MI ,Ingham County,http://www.lansingschools.net,5177551070,1-Regular school,1-Yes,764,406,358,46,="0",122,431,98,65,2,542,LANSING
KACHEMAK SELO SCHOOL,Alaska,AK ,Kenai Peninsula Borough,http://www.kpbsd.k12.ak.us/,9072355552,1-Regular school,1-Yes,43,22,21,="0",="0",43,="0",="0",="0",="0",3,Kachemak
KADOKA AREA HIGH SCHOOL - 01,South Dakota,SD ,Jackson County,http://www.kadoka.k12.sd.us,6058372172,1-Regular school,1-Yes,73,32,41,="0",="0",42,="0",2,="0",29,29,Kadoka
KAHLOTUS ELEM & HIGH,Washington,WA ,Franklin County,†,5092823338,1-Regular school,1-Yes,44,18,26,2,="0",32,="0",10,="0",="0",30,KAHLOTUS
KAHUKU HIGH & INTERMEDIATE SCHOOL,Hawaii,HI ,Honolulu County,†,8082938950,1-Regular school,1-Yes,1381,678,703,187,778,235,4,77,94,6,621,Kahuku
KAILUA HIGH SCHOOL,Hawaii,HI ,Honolulu County,†,8082667900,1-Regular school,1-Yes,804,427,377,56,416,113,3,59,156,1,366,Kailua
KAIMUKI HIGH SCHOOL,Hawaii,HI ,Honolulu County,†,8087334900,1-Regular school,1-Yes,702,381,321,96,348,32,9,40,174,3,411,Honolulu
KAIZEN EDUCATION FOUNDATION DBA EL DORADO HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,6029532933,1-Regular school,1-Yes,185,104,81,6,3,27,31,110,3,5,110,Chandler
KAIZEN EDUCATION FOUNDATION DBA MAYA HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,6029532933,1-Regular school,1-Yes,422,230,192,9,2,59,70,263,5,14,362,Phoenix
KAIZEN EDUCATION FOUNDATION DBA QUEST HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,6029532933,1-Regular school,1-Yes,63,26,37,="0",="0",6,6,49,2,="0",43,PHOENIX
KAIZEN EDUCATION FOUNDATION DBA SUMMIT HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,6029532933,1-Regular school,1-Yes,297,172,125,="0",="0",16,35,235,="0",11,242,PHOENIX
KAKE ELEMENTARY & HIGH SCHOOL,Alaska,AK ,Prince of Wales-Hyder Census Area,http://www.kakeschools.com,9077853741,1-Regular school,1-Yes,104,52,52,="0",="0",2,="0",="0",2,100,129,Kake
KALAHEO HIGH SCHOOL,Hawaii,HI ,Honolulu County,†,8082547900,1-Regular school,1-Yes,759,372,387,88,128,325,16,118,81,3,139,Kailua
KALAMA HIGH SCHOOL,WASHINGTON,WA ,Cowlitz County,http://kalamaschools.org,3606735212,1-Regular school,1-Yes,305,181,124,10,2,263,5,20,2,3,90,Kalama
KALAMAZOO AREA MATH AND SCIENCE CENTER,Michigan,MI ,Kalamazoo County,http://www.kalamazoo.k12.mi.us,2693370004,1-Regular school,1-Yes,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,KALAMAZOO
KALAMAZOO CENTRAL HIGH SCHOOL,Michigan,MI ,Kalamazoo County,http://www.kalamazoo.k12.mi.us,2693370300,1-Regular school,1-Yes,1675,842,833,130,="0",558,757,201,28,1,1123,KALAMAZOO
KALAMAZOO COVENANT ACADEMY,MICHIGAN,MI ,Kalamazoo County,http://www.kcovenantacademy.org,2698882700,1-Regular school,1-Yes,169,84,85,16,="0",23,102,25,2,1,166,Kalamazoo
KALAMAZOO RESA WEST CAMPUSYOUNG ADULT PROGRAM,Michigan,MI ,Kalamazoo County,http://www.kresa.org,2692509602,2-Special education school,1-Yes,106,68,38,7,="0",73,22,3,="0",1,49,KALAMAZOO
KALANI HIGH SCHOOL,Hawaii,HI ,Honolulu County,†,8083777744,1-Regular school,1-Yes,1422,729,693,176,152,118,8,78,888,2,252,Honolulu
KALEIDOSCOPE CHARTER HIGH SCHOOL,Minnesota,MN ,Wright County,†,7634281890,1-Regular school,1-Yes,66,32,34,1,†,58,2,4,1,†,17,OTSEGO
KALI SCHOOL,Alaska,AK ,North Slope Borough,http://nsbsdbeta.schoolwires.net/Domain/17,9078332311,1-Regular school,1-Yes,107,54,53,2,="0",1,="0",="0",="0",104,44,Point Lay
KALIDA HIGH SCHOOL,Ohio,OH ,Putnam County,†,4195323529,1-Regular school,1-Yes,340,159,181,="0",="0",339,1,="0",="0",="0",31,Kalida
KALKASKA HIGH SCHOOL,Michigan,MI ,Kalkaska County,http://www.kpschools.com,2312589167,1-Regular school,1-Yes,434,224,210,5,="0",410,4,11,2,2,243,Kalkaska
KALTAG SCHOOL,Alaska,AK ,Yukon-Koyukuk Census Area,http://www.yksd.com/site/default.aspx?PageID=1,9075342204,1-Regular school,1-Yes,23,13,10,="0",="0",="0",="0",="0",="0",23,10,Kaltag
KAMAILE ACADEMY PCS,Hawaii,HI ,Honolulu County,†,8086977110,1-Regular school,1-Yes,844,451,393,87,457,27,13,225,32,3,801,Waianae
KAMIAH HIGH SCHOOL,Idaho,ID ,Lewis County,†,2089354067,1-Regular school,1-Yes,152,88,64,10,1,107,="0",17,="0",17,83,KAMIAH
KAMIAK HIGH SCHOOL,Washington,WA ,Snohomish County,†,4253665400,1-Regular school,1-Yes,2051,1081,970,223,9,1059,72,230,452,6,274,Mukilteo
KAMIAKIN HIGH SCHOOL,Washington,WA ,Benton County,†,5097343500,1-Regular school,1-Yes,1781,943,837,61,3,1108,93,470,34,11,668,KENNEWICK
KANAB HIGH,Utah,UT ,Kane County,http://www.khs.kane.k12.ut.us/,4356445821,1-Regular school,1-Yes,255,139,116,1,3,229,1,12,3,6,86,KANAB
KANE AREA HS,Pennsylvania,PA ,McKean County,http://www.kane.new.rschooltoday.com/page/3077,8148376821,1-Regular school,1-Yes,368,206,162,2,1,354,3,5,2,1,147,Kane
KANE CO DETENTION CENTER,ILLINOIS,IL ,Kane County,†,6304067480,1-Regular school,1-Yes,5,4,1,†,†,1,2,2,†,†,†,St Charles
KANELAND SENIOR HIGH SCHOOL,Illinois,IL ,Kane County,†,6303655100,1-Regular school,1-Yes,1300,665,635,48,1,1041,33,143,33,1,193,Maple Park
KANKAKEE HIGH SCHOOL,Illinois,IL ,Kankakee County,†,8159330740,1-Regular school,1-Yes,1273,631,642,12,†,279,586,391,5,†,983,Kankakee
KANKAKEE VALLEY HIGH SCHOOL,Indiana,IN ,Jasper County,†,2199563143,1-Regular school,1-Yes,1041,517,524,12,†,906,9,105,6,3,401,Wheatfield
KANSAS CONNECTIONS ACADEMY,Kansas,KS ,Morton County,http://kansas.connectionsacademy.com,6206071199,1-Regular school,1-Yes,809,357,452,51,3,614,42,78,12,9,="0",Elkhart
KANSAS HIGH SCHOOL,Illinois,IL ,Edgar County,†,2179485175,1-Regular school,1-Yes,102,54,48,†,†,101,†,1,†,†,49,Kansas
KANSAS HS,Oklahoma,OK ,Delaware County,http://WWW.KANSASPS.COM,9188683308,1-Regular school,1-Yes,312,157,155,8,2,113,3,5,9,172,212,Kansas
KANU O KA AINA - NEW CENTURY PCS,Hawaii,HI ,Hawaii County,†,8088878144,1-Regular school,1-Yes,548,273,275,3,314,212,5,="0",14,="0",323,Kamuela
KANUIKAPONO LEARNING CENTER,Hawaii,HI ,Kauai County,†,8088229032,1-Regular school,1-Yes,187,92,95,22,80,61,2,18,2,2,88,Anahola
KAPAA HIGH SCHOOL,Hawaii,HI ,Kauai County,†,8088214400,1-Regular school,1-Yes,1083,553,530,116,354,266,5,115,216,11,369,Kapaa
KAPLAN CAREER ACADEMY,New York,NY ,Orange County,http://www.greenburghnorthcastleschools.com,8455228460,2-Special education school,1-Yes,71,40,31,3,="0",26,21,19,1,1,27,NEW WINDSOR
KAPLAN HIGH SCHOOL,Louisiana,LA ,Vermilion Parish,†,3376436385,1-Regular school,1-Yes,491,243,248,21,†,420,39,7,2,2,147,Kaplan
KAPOLEI HIGH SCHOOL,Hawaii,HI ,Honolulu County,†,8086928200,1-Regular school,1-Yes,1996,1013,983,270,682,153,72,281,538,†,686,Kapolei
KAREN M. SIEGEL ACADEMY,Florida,FL ,Polk County,http://schools.polk-fl.net/kmsa,8639655566,2-Special education school,1-Yes,154,93,61,7,="0",49,31,65,1,1,58,LAKE ALFRED
KAREN WAGNER H S,Texas,TX ,Bexar County,†,2106625000,1-Regular school,1-Yes,2137,1119,1018,48,11,199,616,1220,36,7,1614,SAN ANTONIO
KARL G. MAESER PREPARATORY ACADEMY,Utah,UT ,Utah County,http://www.maeserprep.org,8012359000,1-Regular school,1-Yes,636,309,327,21,2,489,2,72,47,3,57,LINDON
KARLUK SCHOOL,Alaska,AK ,Kodiak Island Borough,http://www.kibsd.org,9072412217,1-Regular school,1-Yes,7,3,4,="0",="0",="0",="0",="0",="0",7,†,Karluk
KARNES CITY H S,Texas,TX ,Karnes County,http://www.kcisd.net/index.php?pageID=122005_2,8307802321,1-Regular school,1-Yes,334,164,170,="0",1,96,4,231,="0",2,196,KARNES CITY
KARNS CITY HS,Pennsylvania,PA ,Butler County,†,7247562030,1-Regular school,1-Yes,648,302,346,1,="0",641,2,3,="0",1,240,Karns City
KARNS HIGH SCHOOL,Tennessee,TN ,Knox County,http://www.karns-hs.knox.k12tn.net/,8655398670,1-Regular school,1-Yes,1347,686,661,41,3,1009,134,150,7,3,–,Knoxville
KARVAL JUNIOR-SENIOR HIGH SCHOOL,Colorado,CO ,Lincoln County,http://www.karvalschool.org/,7194465311,1-Regular school,1-Yes,12,5,7,†,†,12,†,†,†,†,9,KARVAL
KASHMERE H S,Texas,TX ,Harris County,http://www.houstonisd.org,7136366400,1-Regular school,1-Yes,777,414,363,5,="0",11,499,259,="0",3,759,HOUSTON
KASKASKIA EDUCATION CENTER,Illinois,IL ,Marion County,†,6185324721,2-Special education school,1-Yes,11,7,4,†,†,9,1,1,†,†,8,Centralia
KASSON-MANTORVILLE SENIOR HIGH,Minnesota,MN ,Dodge County,†,5076342961,1-Regular school,1-Yes,653,313,340,8,†,600,2,40,3,†,82,KASSON
KATAHDIN MIDDLE/HIGH SCHOOL,MAINE,ME ,Penobscot County,†,2073654218,1-Regular school,1-Yes,181,95,86,2,†,176,1,2,†,†,110,Stacyville
KATE D SMITH DAR HIGH SCHOOL,Alabama,AL ,Marshall County,http://www.marshallk12.org,2567284238,1-Regular school,1-Yes,449,245,204,8,="0",422,3,12,3,1,210,Grant
KATELLA HIGH,California,CA ,Orange County,http://katella.auhsd.us,7149993621,1-Regular school,1-Yes,2718,1413,1305,8,12,123,42,2402,129,2,2199,Anaheim
KATHLEEN SENIOR HIGH SCHOOL,Florida,FL ,Polk County,http://schools.polk-fl.net/khs,8634992655,1-Regular school,1-Yes,2085,1148,937,56,2,796,510,682,24,15,1029,LAKELAND
KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,Texas,TX ,Dallas County,http://www.dallasisd.org/Page/1948,2149327300,1-Regular school,1-Yes,373,135,238,2,="0",5,181,185,="0",="0",296,DALLAS
KATO PUBLIC CHARTER SCHOOL,Minnesota,MN ,Blue Earth County,http://www.katopcs.org/,5073875524,1-Regular school,1-Yes,62,34,28,2,†,46,7,7,†,†,32,MANKATO
KATY H S,Texas,TX ,Fort Bend County,http://www.katyisd.org/,2812376700,1-Regular school,1-Yes,3377,1737,1640,92,7,1589,303,1211,165,10,1045,KATY
KAU HIGH & PAHALA ELEMENTARY SCHOOL,Hawaii,HI ,Hawaii County,†,8089282088,1-Regular school,1-Yes,500,260,240,35,266,43,3,37,112,4,404,Pahala
KAUAI HIGH SCHOOL,Hawaii,HI ,Kauai County,†,8082743160,1-Regular school,1-Yes,1154,605,549,83,317,176,4,58,514,2,384,Lihue
KAUFER H S,Texas,TX ,Kleberg County,http://www.rivieraisd.us,3612963101,1-Regular school,1-Yes,248,118,130,2,="0",50,="0",194,1,1,164,RIVIERA
KAUFMAN H S,Texas,TX ,Kaufman County,http://kaufmanisd.net,9729322811,1-Regular school,1-Yes,1171,632,539,18,="0",539,67,533,8,6,701,KAUFMAN
KAUKAUNA HIGH,Wisconsin,WI ,Outagamie County,http://www.kaukauna.k12.wi.us,9207666113,1-Regular school,1-Yes,1156,592,564,54,†,1007,7,67,21,†,229,Kaukauna
KAURI SUE HAMILTON,Utah,UT ,Salt Lake County,http://schools.jordandistrict.org/kaurisuehamilton/,8015678500,2-Special education school,1-Yes,231,155,76,10,3,167,9,29,12,1,97,RIVERTON
KAWAIKINI NCPCS,Hawaii,HI ,Kauai County,†,8086322032,1-Regular school,1-Yes,155,77,78,4,117,10,1,21,2,="0",85,Lihue
KAYCEE SCHOOL,Wyoming,WY ,Johnson County,http://www.jcsd1.us,3077382323,1-Regular school,1-Yes,142,77,65,="0",="0",125,1,12,="0",4,53,Kaycee
KE ANA LAAHANA - PCS,Hawaii,HI ,Hawaii County,†,8089616228,1-Regular school,1-Yes,38,18,20,1,36,="0",="0",1,="0",="0",23,Hilo
KE KULA NIIHAU O KEKAHA LEARNING CENTER - A LABORATORY PCS,Hawaii,HI ,Kauai County,†,8083370481,1-Regular school,1-Yes,52,29,23,="0",50,="0",="0",1,1,="0",39,Kekaha
KE KULA O EHUNUIKAIMALINO,Hawaii,HI ,Hawaii County,†,8083231900,1-Regular school,1-Yes,216,98,118,15,171,3,="0",23,4,="0",149,Kealakekua
KE KULA O SAMUEL M KAMAKAU - A LABORATORY PCS,Hawaii,HI ,Honolulu County,†,8082359175,1-Regular school,1-Yes,120,48,72,2,93,3,2,="0",17,3,57,Kaneohe
KEAAU HIGH SCHOOL,Hawaii,HI ,Hawaii County,†,8089824220,1-Regular school,1-Yes,1032,561,471,48,469,141,8,132,221,13,790,Keaau
KEALAKEHE HIGH SCHOOL,Hawaii,HI ,Hawaii County,†,8083274300,1-Regular school,1-Yes,1374,744,630,66,620,291,9,117,259,12,694,Kailua-Kona
KEANSBURG HIGH SCHOOL,New Jersey,NJ ,Monmouth County,†,7327872007,1-Regular school,1-Yes,384,198,186,1,†,210,64,97,8,4,141,KEANSBURG
KEARNEY HIGH,Missouri,MO ,Clay County,†,8166284585,1-Regular school,1-Yes,890,469,421,21,†,826,13,20,8,2,122,KEARNEY
KEARNEY HIGH SCHOOL,Nebraska,NE ,Buffalo County,†,3086988060,1-Regular school,1-Yes,1547,784,763,11,4,1253,33,215,22,9,555,KEARNEY
KEARNS ACADEMY,North Carolina,NC ,Guilford County,http://academyatcentral.gcsnc.com/pages/Academy_at_Central,3368857905,1-Regular school,1-Yes,125,54,71,7,="0",16,59,38,4,1,122,High Point
KEARNS HIGH,Utah,UT ,Salt Lake County,http://kearnshigh.wikispaces.com/,3856465380,1-Regular school,1-Yes,2296,1150,1146,9,102,1041,72,987,52,33,1301,KEARNS
KEARNY COLLEGE CONNECTIONS,California,CA ,San Diego County,http://www.sandi.net,8584968370,1-Regular school,1-Yes,382,154,228,25,3,37,26,208,82,1,289,San Diego
KEARNY DIGITAL MEDIA & DESIGN,California,CA ,San Diego County,http://dmd.khs.sandi.net,8584968370,1-Regular school,1-Yes,384,223,161,40,4,44,39,203,52,2,284,San Diego
KEARNY ENG INNOV & DESIGN,California,CA ,San Diego County,http://www.sandi.net,8584968370,1-Regular school,1-Yes,322,235,87,31,4,37,18,188,44,†,239,San Diego
KEARNY HIGH SCHOOL,New Jersey,NJ ,Hudson County,†,2019555050,1-Regular school,1-Yes,1710,885,825,4,1,579,33,1056,36,1,877,KEARNY
KEARNY SCT,California,CA ,San Diego County,http://www.sandi.net,8584968370,1-Regular school,1-Yes,356,140,216,24,1,38,37,167,87,2,272,San Diego
KEARSARGE REGIONAL HIGH SCHOOL,New Hampshire,NH ,Merrimack County,http://sites.google.com/a/kearsarge.org/krhs1/,6039274261,1-Regular school,1-Yes,512,253,259,7,2,485,2,10,6,†,87,North Sutton
